,metric_name,description,value
15420,"fill rate (rec3882,disinfectingWipes)",fill rate of recipient rec3882 limited to disinfectingWipes,0.0
15421,"fill rate (rec3882,faceShields)",fill rate of recipient rec3882 limited to faceShields,0.0
15422,"fill rate (rec3882,gowns)",fill rate of recipient rec3882 limited to gowns,0.0
15423,"fill rate (rec3882,handSanitizer)",fill rate of recipient rec3882 limited to handSanitizer,0.0
15424,"fill rate (rec3882,printedFaceShields)",fill rate of recipient rec3882 limited to printedFaceShields,0.15
15425,"fill rate (rec3882,surgicalMasks)",fill rate of recipient rec3882 limited to surgicalMasks,0.0
15426,"fill rate (rec3883,coveralls)",fill rate of recipient rec3883 limited to coveralls,0.0
15427,"fill rate (rec3883,disinfectingWipes)",fill rate of recipient rec3883 limited to disinfectingWipes,0.0
15428,"fill rate (rec3883,disposableBooties)",fill rate of recipient rec3883 limited to disposableBooties,0.0
15429,"fill rate (rec3883,faceShields)",fill rate of recipient rec3883 limited to faceShields,0.0
15430,"fill rate (rec3883,gowns)",fill rate of recipient rec3883 limited to gowns,0.0
15431,"fill rate (rec3883,handSanitizer)",fill rate of recipient rec3883 limited to handSanitizer,0.0
15432,"fill rate (rec3883,nitrileGloves)",fill rate of recipient rec3883 limited to nitrileGloves,0.0
15433,"fill rate (rec3883,paprShield)",fill rate of recipient rec3883 limited to paprShield,0.0
15434,"fill rate (rec3883,respirators)",fill rate of recipient rec3883 limited to respirators,0.0
15435,"fill rate (rec3883,safetyGlasses)",fill rate of recipient rec3883 limited to safetyGlasses,0.0
15436,"fill rate (rec3883,safetyGoggles)",fill rate of recipient rec3883 limited to safetyGoggles,0.0
15437,"fill rate (rec3883,surgicalCaps)",fill rate of recipient rec3883 limited to surgicalCaps,0.0
15438,"fill rate (rec3883,surgicalMasks)",fill rate of recipient rec3883 limited to surgicalMasks,0.0
15439,"fill rate (rec3883,thermometers)",fill rate of recipient rec3883 limited to thermometers,0.0
15440,"fill rate (rec3884,disinfectingWipes)",fill rate of recipient rec3884 limited to disinfectingWipes,0.0
15441,"fill rate (rec3884,disposableBooties)",fill rate of recipient rec3884 limited to disposableBooties,0.0
15442,"fill rate (rec3884,handSanitizer)",fill rate of recipient rec3884 limited to handSanitizer,0.0
15443,"fill rate (rec3884,handmadeMasks)",fill rate of recipient rec3884 limited to handmadeMasks,0.0
15444,"fill rate (rec3884,nitrileGloves)",fill rate of recipient rec3884 limited to nitrileGloves,0.0
15445,"fill rate (rec3884,paprShield)",fill rate of recipient rec3884 limited to paprShield,0.0
15446,"fill rate (rec3884,printedFaceShields)",fill rate of recipient rec3884 limited to printedFaceShields,1.0
15447,"fill rate (rec3884,safetyGoggles)",fill rate of recipient rec3884 limited to safetyGoggles,0.0
15448,"fill rate (rec3884,surgicalCaps)",fill rate of recipient rec3884 limited to surgicalCaps,0.0
15449,"fill rate (rec3884,thermometers)",fill rate of recipient rec3884 limited to thermometers,0.0
15450,"fill rate (rec3885,bodyBags)",fill rate of recipient rec3885 limited to bodyBags,0.0
15451,"fill rate (rec3885,disinfectingWipes)",fill rate of recipient rec3885 limited to disinfectingWipes,0.0
15452,"fill rate (rec3885,faceShields)",fill rate of recipient rec3885 limited to faceShields,0.0
15453,"fill rate (rec3885,gowns)",fill rate of recipient rec3885 limited to gowns,0.0
15454,"fill rate (rec3885,handSanitizer)",fill rate of recipient rec3885 limited to handSanitizer,0.0
15455,"fill rate (rec3885,nitrileGloves)",fill rate of recipient rec3885 limited to nitrileGloves,0.0
15456,"fill rate (rec3885,respirators)",fill rate of recipient rec3885 limited to respirators,0.0
15457,"fill rate (rec3885,safetyGoggles)",fill rate of recipient rec3885 limited to safetyGoggles,0.0
15458,"fill rate (rec3885,surgicalCaps)",fill rate of recipient rec3885 limited to surgicalCaps,0.0
15459,"fill rate (rec3885,surgicalMasks)",fill rate of recipient rec3885 limited to surgicalMasks,0.0
15460,"fill rate (rec3885,thermometers)",fill rate of recipient rec3885 limited to thermometers,0.0
15461,"fill rate (rec3886,disinfectingWipes)",fill rate of recipient rec3886 limited to disinfectingWipes,0.0
15462,"fill rate (rec3886,respirators)",fill rate of recipient rec3886 limited to respirators,0.0
15463,"fill rate (rec3886,surgicalMasks)",fill rate of recipient rec3886 limited to surgicalMasks,0.0
15464,"fill rate (rec3887,babyMonitors)",fill rate of recipient rec3887 limited to babyMonitors,0.0
15465,"fill rate (rec3887,bodyBags)",fill rate of recipient rec3887 limited to bodyBags,0.0
15466,"fill rate (rec3887,coveralls)",fill rate of recipient rec3887 limited to coveralls,0.0
15467,"fill rate (rec3887,disinfectingWipes)",fill rate of recipient rec3887 limited to disinfectingWipes,0.0
15468,"fill rate (rec3887,disposableBooties)",fill rate of recipient rec3887 limited to disposableBooties,0.0
15469,"fill rate (rec3887,faceShields)",fill rate of recipient rec3887 limited to faceShields,0.0
15470,"fill rate (rec3887,gowns)",fill rate of recipient rec3887 limited to gowns,0.0
15471,"fill rate (rec3887,handSanitizer)",fill rate of recipient rec3887 limited to handSanitizer,0.0
15472,"fill rate (rec3887,handmadeMasks)",fill rate of recipient rec3887 limited to handmadeMasks,0.0
15473,"fill rate (rec3887,nitrileGloves)",fill rate of recipient rec3887 limited to nitrileGloves,0.0
15474,"fill rate (rec3887,paprShield)",fill rate of recipient rec3887 limited to paprShield,0.0
15475,"fill rate (rec3887,printedFaceShields)",fill rate of recipient rec3887 limited to printedFaceShields,0.28
15476,"fill rate (rec3887,respirators)",fill rate of recipient rec3887 limited to respirators,0.0
15477,"fill rate (rec3887,safetyGlasses)",fill rate of recipient rec3887 limited to safetyGlasses,0.0
15478,"fill rate (rec3887,safetyGoggles)",fill rate of recipient rec3887 limited to safetyGoggles,0.0
15479,"fill rate (rec3887,surgicalCaps)",fill rate of recipient rec3887 limited to surgicalCaps,0.0
15480,"fill rate (rec3887,surgicalMasks)",fill rate of recipient rec3887 limited to surgicalMasks,0.0
15481,"fill rate (rec3887,thermometers)",fill rate of recipient rec3887 limited to thermometers,0.0
15482,"fill rate (rec3888,paprShield)",fill rate of recipient rec3888 limited to paprShield,0.0
15483,"fill rate (rec3888,respirators)",fill rate of recipient rec3888 limited to respirators,0.0
15484,"fill rate (rec3889,bodyBags)",fill rate of recipient rec3889 limited to bodyBags,0.0
15485,"fill rate (rec3889,disinfectingWipes)",fill rate of recipient rec3889 limited to disinfectingWipes,0.0
15486,"fill rate (rec3889,disposableBooties)",fill rate of recipient rec3889 limited to disposableBooties,0.0
15487,"fill rate (rec3889,faceShields)",fill rate of recipient rec3889 limited to faceShields,0.0
15488,"fill rate (rec3889,handmadeMasks)",fill rate of recipient rec3889 limited to handmadeMasks,0.0
15489,"fill rate (rec3889,respirators)",fill rate of recipient rec3889 limited to respirators,0.0
15490,"fill rate (rec3889,surgicalMasks)",fill rate of recipient rec3889 limited to surgicalMasks,0.0
15491,"fill rate (rec389,handSanitizer)",fill rate of recipient rec389 limited to handSanitizer,0.0
15492,"fill rate (rec389,respirators)",fill rate of recipient rec389 limited to respirators,0.0
15493,"fill rate (rec389,thermometers)",fill rate of recipient rec389 limited to thermometers,0.0
15494,"fill rate (rec3890,faceShields)",fill rate of recipient rec3890 limited to faceShields,0.0
15495,"fill rate (rec3890,gowns)",fill rate of recipient rec3890 limited to gowns,0.0
15496,"fill rate (rec3890,respirators)",fill rate of recipient rec3890 limited to respirators,0.0
15497,"fill rate (rec3890,surgicalMasks)",fill rate of recipient rec3890 limited to surgicalMasks,0.0
15498,"fill rate (rec3891,bodyBags)",fill rate of recipient rec3891 limited to bodyBags,0.0
15499,"fill rate (rec3891,handSanitizer)",fill rate of recipient rec3891 limited to handSanitizer,0.0
15500,"fill rate (rec3891,paprShield)",fill rate of recipient rec3891 limited to paprShield,0.0
15501,"fill rate (rec3891,respirators)",fill rate of recipient rec3891 limited to respirators,0.0
15502,"fill rate (rec3891,safetyGoggles)",fill rate of recipient rec3891 limited to safetyGoggles,0.0
15503,"fill rate (rec3892,coveralls)",fill rate of recipient rec3892 limited to coveralls,0.0
15504,"fill rate (rec3892,faceShields)",fill rate of recipient rec3892 limited to faceShields,0.0
15505,"fill rate (rec3892,gowns)",fill rate of recipient rec3892 limited to gowns,0.0
15506,"fill rate (rec3892,surgicalMasks)",fill rate of recipient rec3892 limited to surgicalMasks,0.0
15507,"fill rate (rec3893,gowns)",fill rate of recipient rec3893 limited to gowns,0.0
15508,"fill rate (rec3893,respirators)",fill rate of recipient rec3893 limited to respirators,0.0
15509,"fill rate (rec3893,surgicalMasks)",fill rate of recipient rec3893 limited to surgicalMasks,0.0
15510,"fill rate (rec3894,disinfectingWipes)",fill rate of recipient rec3894 limited to disinfectingWipes,0.0
15511,"fill rate (rec3895,disinfectingWipes)",fill rate of recipient rec3895 limited to disinfectingWipes,0.0
15512,"fill rate (rec3895,handSanitizer)",fill rate of recipient rec3895 limited to handSanitizer,0.0
15513,"fill rate (rec3895,handmadeMasks)",fill rate of recipient rec3895 limited to handmadeMasks,0.0
15514,"fill rate (rec3895,nitrileGloves)",fill rate of recipient rec3895 limited to nitrileGloves,0.0
15515,"fill rate (rec3895,surgicalMasks)",fill rate of recipient rec3895 limited to surgicalMasks,0.0
15516,"fill rate (rec3895,thermometers)",fill rate of recipient rec3895 limited to thermometers,0.0
15517,"fill rate (rec3896,bodyBags)",fill rate of recipient rec3896 limited to bodyBags,0.0
15518,"fill rate (rec3896,disinfectingWipes)",fill rate of recipient rec3896 limited to disinfectingWipes,0.0
15519,"fill rate (rec3896,respirators)",fill rate of recipient rec3896 limited to respirators,0.0
15520,"fill rate (rec3896,safetyGlasses)",fill rate of recipient rec3896 limited to safetyGlasses,0.0
15521,"fill rate (rec3897,coveralls)",fill rate of recipient rec3897 limited to coveralls,0.0
15522,"fill rate (rec3897,disinfectingWipes)",fill rate of recipient rec3897 limited to disinfectingWipes,0.0
15523,"fill rate (rec3897,disposableBooties)",fill rate of recipient rec3897 limited to disposableBooties,0.0
15524,"fill rate (rec3897,handSanitizer)",fill rate of recipient rec3897 limited to handSanitizer,0.0
15525,"fill rate (rec3897,nitrileGloves)",fill rate of recipient rec3897 limited to nitrileGloves,0.0
15526,"fill rate (rec3897,respirators)",fill rate of recipient rec3897 limited to respirators,0.0
15527,"fill rate (rec3897,surgicalCaps)",fill rate of recipient rec3897 limited to surgicalCaps,0.0
15528,"fill rate (rec3897,surgicalMasks)",fill rate of recipient rec3897 limited to surgicalMasks,0.0
15529,"fill rate (rec3897,thermometers)",fill rate of recipient rec3897 limited to thermometers,0.0
15530,"fill rate (rec3898,disinfectingWipes)",fill rate of recipient rec3898 limited to disinfectingWipes,0.0
15531,"fill rate (rec3898,handSanitizer)",fill rate of recipient rec3898 limited to handSanitizer,0.0
15532,"fill rate (rec3898,nitrileGloves)",fill rate of recipient rec3898 limited to nitrileGloves,0.0
15533,"fill rate (rec3898,respirators)",fill rate of recipient rec3898 limited to respirators,0.0
15534,"fill rate (rec3898,surgicalMasks)",fill rate of recipient rec3898 limited to surgicalMasks,0.0
15535,"fill rate (rec3898,thermometers)",fill rate of recipient rec3898 limited to thermometers,0.0
15536,"fill rate (rec3899,babyMonitors)",fill rate of recipient rec3899 limited to babyMonitors,0.0
15537,"fill rate (rec3899,bodyBags)",fill rate of recipient rec3899 limited to bodyBags,0.0
15538,"fill rate (rec3899,coveralls)",fill rate of recipient rec3899 limited to coveralls,0.0
15539,"fill rate (rec3899,disinfectingWipes)",fill rate of recipient rec3899 limited to disinfectingWipes,0.0
15540,"fill rate (rec3899,disposableBooties)",fill rate of recipient rec3899 limited to disposableBooties,0.0
15541,"fill rate (rec3899,faceShields)",fill rate of recipient rec3899 limited to faceShields,0.0
15542,"fill rate (rec3899,gowns)",fill rate of recipient rec3899 limited to gowns,0.0
15543,"fill rate (rec3899,handSanitizer)",fill rate of recipient rec3899 limited to handSanitizer,0.0
15544,"fill rate (rec3899,handmadeMasks)",fill rate of recipient rec3899 limited to handmadeMasks,0.0
15545,"fill rate (rec3899,nitrileGloves)",fill rate of recipient rec3899 limited to nitrileGloves,0.0
15546,"fill rate (rec3899,paprShield)",fill rate of recipient rec3899 limited to paprShield,0.0
15547,"fill rate (rec3899,printedFaceShields)",fill rate of recipient rec3899 limited to printedFaceShields,0.61
15548,"fill rate (rec3899,respirators)",fill rate of recipient rec3899 limited to respirators,0.0
15549,"fill rate (rec3899,safetyGlasses)",fill rate of recipient rec3899 limited to safetyGlasses,0.0
15550,"fill rate (rec3899,safetyGoggles)",fill rate of recipient rec3899 limited to safetyGoggles,0.0
15551,"fill rate (rec3899,surgicalCaps)",fill rate of recipient rec3899 limited to surgicalCaps,0.0
15552,"fill rate (rec3899,surgicalMasks)",fill rate of recipient rec3899 limited to surgicalMasks,0.0
15553,"fill rate (rec3899,thermometers)",fill rate of recipient rec3899 limited to thermometers,0.0
15554,"fill rate (rec39,disinfectingWipes)",fill rate of recipient rec39 limited to disinfectingWipes,0.0
15555,"fill rate (rec39,faceShields)",fill rate of recipient rec39 limited to faceShields,0.0
15556,"fill rate (rec39,gowns)",fill rate of recipient rec39 limited to gowns,0.0
15557,"fill rate (rec39,handSanitizer)",fill rate of recipient rec39 limited to handSanitizer,0.0
15558,"fill rate (rec39,nitrileGloves)",fill rate of recipient rec39 limited to nitrileGloves,0.0
15559,"fill rate (rec39,respirators)",fill rate of recipient rec39 limited to respirators,0.0
15560,"fill rate (rec39,thermometers)",fill rate of recipient rec39 limited to thermometers,0.0
15561,"fill rate (rec390,disinfectingWipes)",fill rate of recipient rec390 limited to disinfectingWipes,0.0
15562,"fill rate (rec390,faceShields)",fill rate of recipient rec390 limited to faceShields,0.0
15563,"fill rate (rec390,gowns)",fill rate of recipient rec390 limited to gowns,0.0
15564,"fill rate (rec390,handSanitizer)",fill rate of recipient rec390 limited to handSanitizer,0.0
15565,"fill rate (rec390,handmadeMasks)",fill rate of recipient rec390 limited to handmadeMasks,0.0
15566,"fill rate (rec390,nitrileGloves)",fill rate of recipient rec390 limited to nitrileGloves,0.0
15567,"fill rate (rec390,surgicalMasks)",fill rate of recipient rec390 limited to surgicalMasks,0.0
15568,"fill rate (rec390,thermometers)",fill rate of recipient rec390 limited to thermometers,0.0
15569,"fill rate (rec3900,disposableBooties)",fill rate of recipient rec3900 limited to disposableBooties,0.0
15570,"fill rate (rec3900,faceShields)",fill rate of recipient rec3900 limited to faceShields,0.0
15571,"fill rate (rec3900,gowns)",fill rate of recipient rec3900 limited to gowns,0.0
15572,"fill rate (rec3900,handSanitizer)",fill rate of recipient rec3900 limited to handSanitizer,0.0
15573,"fill rate (rec3900,handmadeMasks)",fill rate of recipient rec3900 limited to handmadeMasks,0.0
15574,"fill rate (rec3900,nitrileGloves)",fill rate of recipient rec3900 limited to nitrileGloves,0.0
15575,"fill rate (rec3900,respirators)",fill rate of recipient rec3900 limited to respirators,0.0
15576,"fill rate (rec3900,surgicalCaps)",fill rate of recipient rec3900 limited to surgicalCaps,0.0
15577,"fill rate (rec3901,coveralls)",fill rate of recipient rec3901 limited to coveralls,0.0
15578,"fill rate (rec3901,faceShields)",fill rate of recipient rec3901 limited to faceShields,0.0
15579,"fill rate (rec3901,nitrileGloves)",fill rate of recipient rec3901 limited to nitrileGloves,0.0
15580,"fill rate (rec3901,thermometers)",fill rate of recipient rec3901 limited to thermometers,0.0
15581,"fill rate (rec3902,coveralls)",fill rate of recipient rec3902 limited to coveralls,0.0
15582,"fill rate (rec3902,gowns)",fill rate of recipient rec3902 limited to gowns,0.0
15583,"fill rate (rec3902,surgicalCaps)",fill rate of recipient rec3902 limited to surgicalCaps,0.0
15584,"fill rate (rec3902,surgicalMasks)",fill rate of recipient rec3902 limited to surgicalMasks,0.0
15585,"fill rate (rec3902,thermometers)",fill rate of recipient rec3902 limited to thermometers,0.0
15586,"fill rate (rec3903,disinfectingWipes)",fill rate of recipient rec3903 limited to disinfectingWipes,0.0
15587,"fill rate (rec3903,faceShields)",fill rate of recipient rec3903 limited to faceShields,0.0
15588,"fill rate (rec3903,gowns)",fill rate of recipient rec3903 limited to gowns,0.0
15589,"fill rate (rec3903,handSanitizer)",fill rate of recipient rec3903 limited to handSanitizer,0.0
15590,"fill rate (rec3903,nitrileGloves)",fill rate of recipient rec3903 limited to nitrileGloves,0.0
15591,"fill rate (rec3903,respirators)",fill rate of recipient rec3903 limited to respirators,0.0
15592,"fill rate (rec3903,surgicalMasks)",fill rate of recipient rec3903 limited to surgicalMasks,0.0
15593,"fill rate (rec3903,thermometers)",fill rate of recipient rec3903 limited to thermometers,0.0
15594,"fill rate (rec3904,disinfectingWipes)",fill rate of recipient rec3904 limited to disinfectingWipes,0.0
15595,"fill rate (rec3904,gowns)",fill rate of recipient rec3904 limited to gowns,0.0
15596,"fill rate (rec3904,respirators)",fill rate of recipient rec3904 limited to respirators,0.0
15597,"fill rate (rec3905,disposableBooties)",fill rate of recipient rec3905 limited to disposableBooties,0.0
15598,"fill rate (rec3905,gowns)",fill rate of recipient rec3905 limited to gowns,0.0
15599,"fill rate (rec3905,safetyGlasses)",fill rate of recipient rec3905 limited to safetyGlasses,0.0
15600,"fill rate (rec3906,disinfectingWipes)",fill rate of recipient rec3906 limited to disinfectingWipes,0.0
15601,"fill rate (rec3906,gowns)",fill rate of recipient rec3906 limited to gowns,0.0
15602,"fill rate (rec3906,handSanitizer)",fill rate of recipient rec3906 limited to handSanitizer,0.0
15603,"fill rate (rec3907,handmadeMasks)",fill rate of recipient rec3907 limited to handmadeMasks,0.0
15604,"fill rate (rec3907,respirators)",fill rate of recipient rec3907 limited to respirators,0.0
15605,"fill rate (rec3908,disinfectingWipes)",fill rate of recipient rec3908 limited to disinfectingWipes,0.0
15606,"fill rate (rec3908,faceShields)",fill rate of recipient rec3908 limited to faceShields,0.0
15607,"fill rate (rec3908,gowns)",fill rate of recipient rec3908 limited to gowns,0.0
15608,"fill rate (rec3908,handSanitizer)",fill rate of recipient rec3908 limited to handSanitizer,0.0
15609,"fill rate (rec3908,paprShield)",fill rate of recipient rec3908 limited to paprShield,0.0
15610,"fill rate (rec3908,printedFaceShields)",fill rate of recipient rec3908 limited to printedFaceShields,1.0
15611,"fill rate (rec3908,respirators)",fill rate of recipient rec3908 limited to respirators,0.0
15612,"fill rate (rec3908,surgicalMasks)",fill rate of recipient rec3908 limited to surgicalMasks,0.0
15613,"fill rate (rec3908,thermometers)",fill rate of recipient rec3908 limited to thermometers,0.0
15614,"fill rate (rec3909,disinfectingWipes)",fill rate of recipient rec3909 limited to disinfectingWipes,0.0
15615,"fill rate (rec3909,gowns)",fill rate of recipient rec3909 limited to gowns,0.0
15616,"fill rate (rec3909,respirators)",fill rate of recipient rec3909 limited to respirators,0.0
15617,"fill rate (rec3909,surgicalMasks)",fill rate of recipient rec3909 limited to surgicalMasks,0.0
15618,"fill rate (rec391,handmadeMasks)",fill rate of recipient rec391 limited to handmadeMasks,0.0
15619,"fill rate (rec391,respirators)",fill rate of recipient rec391 limited to respirators,0.0
15620,"fill rate (rec391,thermometers)",fill rate of recipient rec391 limited to thermometers,0.0
15621,"fill rate (rec3910,babyMonitors)",fill rate of recipient rec3910 limited to babyMonitors,0.0
15622,"fill rate (rec3910,bodyBags)",fill rate of recipient rec3910 limited to bodyBags,0.0
15623,"fill rate (rec3910,coveralls)",fill rate of recipient rec3910 limited to coveralls,0.0
15624,"fill rate (rec3910,disinfectingWipes)",fill rate of recipient rec3910 limited to disinfectingWipes,0.0
15625,"fill rate (rec3910,disposableBooties)",fill rate of recipient rec3910 limited to disposableBooties,0.0
15626,"fill rate (rec3910,faceShields)",fill rate of recipient rec3910 limited to faceShields,0.0
15627,"fill rate (rec3910,gowns)",fill rate of recipient rec3910 limited to gowns,0.0
15628,"fill rate (rec3910,handSanitizer)",fill rate of recipient rec3910 limited to handSanitizer,0.0
15629,"fill rate (rec3910,handmadeMasks)",fill rate of recipient rec3910 limited to handmadeMasks,0.0
15630,"fill rate (rec3910,nitrileGloves)",fill rate of recipient rec3910 limited to nitrileGloves,0.0
15631,"fill rate (rec3910,paprShield)",fill rate of recipient rec3910 limited to paprShield,0.0
15632,"fill rate (rec3910,printedFaceShields)",fill rate of recipient rec3910 limited to printedFaceShields,1.0
15633,"fill rate (rec3910,respirators)",fill rate of recipient rec3910 limited to respirators,0.0
15634,"fill rate (rec3910,safetyGlasses)",fill rate of recipient rec3910 limited to safetyGlasses,0.0
15635,"fill rate (rec3910,safetyGoggles)",fill rate of recipient rec3910 limited to safetyGoggles,0.0
15636,"fill rate (rec3910,surgicalCaps)",fill rate of recipient rec3910 limited to surgicalCaps,0.0
15637,"fill rate (rec3910,surgicalMasks)",fill rate of recipient rec3910 limited to surgicalMasks,0.0
15638,"fill rate (rec3910,thermometers)",fill rate of recipient rec3910 limited to thermometers,0.0
15639,"fill rate (rec3911,handSanitizer)",fill rate of recipient rec3911 limited to handSanitizer,0.0
15640,"fill rate (rec3911,respirators)",fill rate of recipient rec3911 limited to respirators,0.0
15641,"fill rate (rec3911,safetyGoggles)",fill rate of recipient rec3911 limited to safetyGoggles,0.0
15642,"fill rate (rec3912,bodyBags)",fill rate of recipient rec3912 limited to bodyBags,0.0
15643,"fill rate (rec3912,disinfectingWipes)",fill rate of recipient rec3912 limited to disinfectingWipes,0.0
15644,"fill rate (rec3912,gowns)",fill rate of recipient rec3912 limited to gowns,0.0
15645,"fill rate (rec3912,handSanitizer)",fill rate of recipient rec3912 limited to handSanitizer,0.0
15646,"fill rate (rec3912,safetyGoggles)",fill rate of recipient rec3912 limited to safetyGoggles,0.0
15647,"fill rate (rec3912,surgicalCaps)",fill rate of recipient rec3912 limited to surgicalCaps,0.0
15648,"fill rate (rec3913,disposableBooties)",fill rate of recipient rec3913 limited to disposableBooties,0.0
15649,"fill rate (rec3913,gowns)",fill rate of recipient rec3913 limited to gowns,0.0
15650,"fill rate (rec3913,surgicalCaps)",fill rate of recipient rec3913 limited to surgicalCaps,0.0
15651,"fill rate (rec3913,surgicalMasks)",fill rate of recipient rec3913 limited to surgicalMasks,0.0
15652,"fill rate (rec3914,faceShields)",fill rate of recipient rec3914 limited to faceShields,0.0
15653,"fill rate (rec3914,gowns)",fill rate of recipient rec3914 limited to gowns,0.0
15654,"fill rate (rec3914,handSanitizer)",fill rate of recipient rec3914 limited to handSanitizer,0.0
15655,"fill rate (rec3914,respirators)",fill rate of recipient rec3914 limited to respirators,0.0
15656,"fill rate (rec3915,gowns)",fill rate of recipient rec3915 limited to gowns,0.0
15657,"fill rate (rec3915,respirators)",fill rate of recipient rec3915 limited to respirators,0.0
15658,"fill rate (rec3916,coveralls)",fill rate of recipient rec3916 limited to coveralls,0.0
15659,"fill rate (rec3916,disinfectingWipes)",fill rate of recipient rec3916 limited to disinfectingWipes,0.0
15660,"fill rate (rec3916,disposableBooties)",fill rate of recipient rec3916 limited to disposableBooties,0.0
15661,"fill rate (rec3916,faceShields)",fill rate of recipient rec3916 limited to faceShields,0.0
15662,"fill rate (rec3916,gowns)",fill rate of recipient rec3916 limited to gowns,0.0
15663,"fill rate (rec3916,handSanitizer)",fill rate of recipient rec3916 limited to handSanitizer,0.0
15664,"fill rate (rec3916,handmadeMasks)",fill rate of recipient rec3916 limited to handmadeMasks,0.0
15665,"fill rate (rec3916,nitrileGloves)",fill rate of recipient rec3916 limited to nitrileGloves,0.0
15666,"fill rate (rec3916,printedFaceShields)",fill rate of recipient rec3916 limited to printedFaceShields,1.0
15667,"fill rate (rec3916,respirators)",fill rate of recipient rec3916 limited to respirators,0.0
15668,"fill rate (rec3916,safetyGlasses)",fill rate of recipient rec3916 limited to safetyGlasses,0.0
15669,"fill rate (rec3916,safetyGoggles)",fill rate of recipient rec3916 limited to safetyGoggles,0.0
15670,"fill rate (rec3916,surgicalCaps)",fill rate of recipient rec3916 limited to surgicalCaps,0.0
15671,"fill rate (rec3916,surgicalMasks)",fill rate of recipient rec3916 limited to surgicalMasks,0.0
15672,"fill rate (rec3916,thermometers)",fill rate of recipient rec3916 limited to thermometers,0.0
15673,"fill rate (rec3917,coveralls)",fill rate of recipient rec3917 limited to coveralls,0.0
15674,"fill rate (rec3917,disinfectingWipes)",fill rate of recipient rec3917 limited to disinfectingWipes,0.0
15675,"fill rate (rec3917,disposableBooties)",fill rate of recipient rec3917 limited to disposableBooties,0.0
15676,"fill rate (rec3917,gowns)",fill rate of recipient rec3917 limited to gowns,0.0
15677,"fill rate (rec3917,handSanitizer)",fill rate of recipient rec3917 limited to handSanitizer,0.0
15678,"fill rate (rec3917,respirators)",fill rate of recipient rec3917 limited to respirators,0.0
15679,"fill rate (rec3917,surgicalCaps)",fill rate of recipient rec3917 limited to surgicalCaps,0.0
15680,"fill rate (rec3917,surgicalMasks)",fill rate of recipient rec3917 limited to surgicalMasks,0.0
15681,"fill rate (rec3917,thermometers)",fill rate of recipient rec3917 limited to thermometers,0.0
15682,"fill rate (rec3918,babyMonitors)",fill rate of recipient rec3918 limited to babyMonitors,0.0
15683,"fill rate (rec3918,bodyBags)",fill rate of recipient rec3918 limited to bodyBags,0.0
15684,"fill rate (rec3918,coveralls)",fill rate of recipient rec3918 limited to coveralls,0.0
15685,"fill rate (rec3918,disinfectingWipes)",fill rate of recipient rec3918 limited to disinfectingWipes,0.0
15686,"fill rate (rec3918,handSanitizer)",fill rate of recipient rec3918 limited to handSanitizer,0.0
15687,"fill rate (rec3918,handmadeMasks)",fill rate of recipient rec3918 limited to handmadeMasks,0.0
15688,"fill rate (rec3918,respirators)",fill rate of recipient rec3918 limited to respirators,0.0
15689,"fill rate (rec3918,safetyGoggles)",fill rate of recipient rec3918 limited to safetyGoggles,0.0
15690,"fill rate (rec3918,thermometers)",fill rate of recipient rec3918 limited to thermometers,0.0
15691,"fill rate (rec3919,gowns)",fill rate of recipient rec3919 limited to gowns,0.0
15692,"fill rate (rec3919,paprShield)",fill rate of recipient rec3919 limited to paprShield,0.0
15693,"fill rate (rec3919,respirators)",fill rate of recipient rec3919 limited to respirators,0.0
15694,"fill rate (rec392,disinfectingWipes)",fill rate of recipient rec392 limited to disinfectingWipes,0.0
15695,"fill rate (rec392,faceShields)",fill rate of recipient rec392 limited to faceShields,0.0
15696,"fill rate (rec392,gowns)",fill rate of recipient rec392 limited to gowns,0.0
15697,"fill rate (rec392,handmadeMasks)",fill rate of recipient rec392 limited to handmadeMasks,0.0
15698,"fill rate (rec392,respirators)",fill rate of recipient rec392 limited to respirators,0.0
15699,"fill rate (rec392,thermometers)",fill rate of recipient rec392 limited to thermometers,0.0
15700,"fill rate (rec3920,disinfectingWipes)",fill rate of recipient rec3920 limited to disinfectingWipes,0.0
15701,"fill rate (rec3920,gowns)",fill rate of recipient rec3920 limited to gowns,0.0
15702,"fill rate (rec3920,handmadeMasks)",fill rate of recipient rec3920 limited to handmadeMasks,0.0
15703,"fill rate (rec3920,printedFaceShields)",fill rate of recipient rec3920 limited to printedFaceShields,0.75
15704,"fill rate (rec3920,respirators)",fill rate of recipient rec3920 limited to respirators,0.0
15705,"fill rate (rec3921,babyMonitors)",fill rate of recipient rec3921 limited to babyMonitors,0.0
15706,"fill rate (rec3921,disinfectingWipes)",fill rate of recipient rec3921 limited to disinfectingWipes,0.0
15707,"fill rate (rec3921,handSanitizer)",fill rate of recipient rec3921 limited to handSanitizer,0.0
15708,"fill rate (rec3921,handmadeMasks)",fill rate of recipient rec3921 limited to handmadeMasks,0.0
15709,"fill rate (rec3921,respirators)",fill rate of recipient rec3921 limited to respirators,0.0
15710,"fill rate (rec3921,surgicalMasks)",fill rate of recipient rec3921 limited to surgicalMasks,0.0
15711,"fill rate (rec3921,thermometers)",fill rate of recipient rec3921 limited to thermometers,0.0
15712,"fill rate (rec3922,disinfectingWipes)",fill rate of recipient rec3922 limited to disinfectingWipes,0.0
